日期,最高气温,最低气温,天气
2015-01-01,4℃,0℃,晴
2015-01-02,8℃,-1℃,晴
2015-01-03,12℃,2℃,多云转晴
2015-01-04,16℃,4℃,晴
2015-01-05,19℃,9℃,晴转多云
2015-01-06,15℃,5℃,小雨
2015-01-07,7℃,3℃,小雨转多云
2015-01-08,8℃,2℃,晴
2015-01-09,11℃,2℃,晴
2015-01-10,13℃,4℃,晴转多云
2015-02-01,7℃,3℃,阴转小雨
2015-02-02,8℃,4℃,小雨转阴
2015-02-03,8℃,4℃,小雨转阴
2015-02-04,8℃,4℃,阴转多云
2015-02-05,6℃,2℃,多云转晴
2015-02-06,8℃,1℃,晴转多云
2015-02-07,11℃,2℃,多云
2015-02-08,7℃,2℃,阴转多云
2015-02-09,5℃,-1℃,晴
2015-02-10,5℃,-1℃,晴
2015-03-01,9℃,4℃,阴转多云
2015-03-02,12℃,3℃,多云转晴
2015-03-03,14℃,7℃,小雨转阴
2015-03-04,7℃,3℃,多云转阴
2015-03-05,6℃,3℃,雨夹雪
2015-03-06,8℃,4℃,小雨转阴
2015-03-07,11℃,4℃,阴转多云
2015-03-08,12℃,7℃,阴转小雨
2015-03-09,10℃,5℃,小雨转阴
2015-03-10,7℃,2℃,多云
2015-04-01,24℃,17℃,多云转阴
2015-04-02,30℃,17℃,多云
2015-04-03,21℃,15℃,小雨
2015-04-04,22℃,13℃,小雨转阴
2015-04-05,17℃,14℃,雷阵雨转中雨
2015-04-06,13℃,10℃,中雨转小雨
2015-04-07,10℃,7℃,小雨
2015-04-08,13℃,6℃,小雨转阴
2015-04-09,14℃,7℃,多云转阴
2015-04-10,17℃,9℃,阴转多云
2015-05-01,25℃,16℃,多云
2015-05-02,23℃,17℃,阵雨转中雨
2015-05-03,23℃,17℃,小雨转多云
2015-05-04,23℃,15℃,多云
2015-05-05,24℃,15℃,多云
2015-05-06,22℃,17℃,阴
2015-05-07,27℃,17℃,多云
2015-05-08,24℃,17℃,阵雨~小雨
2015-05-09,25℃,17℃,阵雨~小雨
2015-05-10,21℃,16℃,阴~多云
2015-06-01,27℃,20℃,多云~晴
2015-06-02,27℃,20℃,中雨~大雨
2015-06-03,25℃,20℃,阴~多云
2015-06-04,26℃,20℃,多云~小雨
2015-06-05,29℃,21℃,多云
2015-06-06,30℃,21℃,晴~多云
2015-06-07,27℃,22℃,阴~大雨
2015-06-08,26℃,21℃,阵雨~大雨
2015-06-09,25℃,21℃,阴~阵雨
2015-06-10,26℃,23℃,小雨
2015-07-01,27℃,22℃,中雨~阴
2015-07-02,29℃,22℃,多云
2015-07-03,28℃,22℃,多云~阴
2015-07-04,25℃,21℃,阵雨~阴
2015-07-05,25℃,20℃,阵雨~小雨
2015-07-06,23℃,21℃,中雨
2015-07-07,23℃,21℃,大雨~中雨
2015-07-08,26℃,23℃,小雨~阴
2015-07-09,28℃,24℃,小雨
2015-07-10,29℃,24℃,阵雨~中雨
2015-08-01,38℃,29℃,晴
2015-08-02,38℃,29℃,晴
2015-08-03,38℃,29℃,晴
2015-08-04,38℃,28℃,晴
2015-08-05,36℃,27℃,晴~多云
2015-08-06,35℃,27℃,晴~多云
2015-08-07,33℃,27℃,阵雨
2015-08-08,31℃,27℃,阵雨~中雨
2015-08-09,30℃,27℃,中雨~阵雨
2015-08-10,31℃,28℃,阵雨
2015-09-01,30℃,24℃,多云
2015-09-02,30℃,24℃,雷阵雨~多云
2015-09-03,31℃,24℃,多云
2015-09-04,30℃,24℃,阴~阵雨
2015-09-05,29℃,24℃,中雨~多云
2015-09-06,29℃,23℃,阵雨~多云
2015-09-07,29℃,23℃,阵雨~多云
2015-09-08,29℃,22℃,多云
2015-09-09,29℃,22℃,晴~多云
2015-09-10,29℃,22℃,多云
2015-10-01,26℃,17℃,小雨~多云
2015-10-02,25℃,18℃,晴
2015-10-03,27℃,20℃,多云
2015-10-04,25℃,20℃,阵雨~中雨
2015-10-05,21℃,19℃,小雨
2015-10-06,24℃,20℃,阴
2015-10-07,23℃,19℃,小雨
2015-10-08,23℃,18℃,小雨~阴
2015-10-09,23℃,17℃,多云
2015-10-10,23℃,14℃,多云~晴
2015-11-01,15℃,12℃,小雨~多云
2015-11-02,18℃,12℃,晴
2015-11-03,20℃,16℃,多云
2015-11-04,21℃,17℃,小雨
2015-11-05,23℃,19℃,小雨
2015-11-06,24℃,21℃,小雨~多云
2015-11-07,24℃,17℃,中雨~阵雨
2015-11-08,20℃,15℃,小雨
2015-11-09,16℃,13℃,阴~多云
2015-11-10,16℃,13℃,多云~阴
2015-12-01,17℃,12℃,阴~小雨
2015-12-02,13℃,6℃,小雨~多云
2015-12-03,11℃,3℃,晴
2015-12-04,10℃,4℃,阴
2015-12-05,8℃,5℃,小雨
2015-12-06,11℃,6℃,多云
2015-12-07,12℃,7℃,多云~晴
2015-12-08,13℃,10℃,多云
2015-12-09,14℃,12℃,小雨~中雨
2015-12-10,13℃,10℃,中雨~小雨
